Date,Open,High,Low,Close,Adj Close,Volume
2022-06-30,110.499496,111.329803,107.309998,109.372498,109.372498,38046000
2022-07-01,108.336998,109.806351,107.105003,109.081001,109.081001,31028000
2022-07-05,107.514503,114.052597,106.249496,113.887001,113.887001,36398000
2022-07-06,114.092003,116.351997,112.250504,115.213501,115.213501,28852000
2022-07-07,116.008003,119.862000,115.533997,119.306000,119.306000,32184000
2022-07-08,117.550003,120.434998,117.514000,120.168503,120.168503,29082000
2022-07-11,118.650002,118.794502,116.234497,116.522499,116.522499,26718000
2022-07-12,116.838501,117.849503,114.614998,114.849503,114.849503,24970000
2022-07-13,112.639000,115.156998,111.822998,112.186996,112.186996,38958000
2022-07-14,110.825996,111.987503,109.325500,111.440002,111.440002,32366000
2022-07-15,112.962997,114.000504,111.822502,112.766998,112.766998,34330000
2022-07-18,113.440002,114.800003,109.300003,109.910004,109.910004,33354000
2022-07-19,111.730003,114.809998,110.500000,114.620003,114.620003,30992300
2022-07-20,114.059998,116.330002,113.260002,114.699997,114.699997,26780100
2022-07-21,115.089996,115.209999,111.910004,115.040001,115.040001,27267800
2022-07-22,111.809998,113.180000,107.599998,108.360001,108.360001,44455300
2022-07-25,108.879997,110.580002,107.010002,108.209999,108.209999,28289900
2022-07-26,107.430000,107.739998,104.760002,105.440002,105.440002,36626600
2022-07-27,109.599998,114.400002,108.419998,113.599998,113.599998,41474600
2022-07-28,112.800003,114.699997,111.850998,114.589996,114.589996,23303800
2022-07-29,113.400002,116.900002,113.230003,116.639999,116.639999,31336200
2022-08-01,115.529999,117.120003,114.690002,115.480003,115.480003,22856200
2022-08-02,114.430000,117.080002,114.260002,115.900002,115.900002,17911000
2022-08-03,116.339996,119.419998,116.150002,118.779999,118.779999,25302800
2022-08-04,118.300003,119.500000,117.709999,118.870003,118.870003,15757700
2022-08-05,116.930000,118.860001,116.709999,118.220001,118.220001,15615700
2022-08-08,119.120003,120.860001,117.830002,118.139999,118.139999,17061100
2022-08-09,117.989998,118.199997,116.559998,117.500000,117.500000,15424300
2022-08-10,119.589996,121.779999,119.360001,120.650002,120.650002,20497000
2022-08-11,122.080002,122.339996,119.550003,119.820000,119.820000,16671600
